Date,T_degC
6/4/2006,13.430
5/4/2006,13.450
11/1/2009,13.450
5/4/2006,13.450
12/7/2002,13.460
20/10/2003,13.460
18/4/2006,13.500
11/4/2006,13.510
6/7/2014,13.520
15/11/2007,13.530
12/7/2002,13.550
17/4/2019,13.560
10/4/2006,13.560
4/11/2019,13.560
11/4/2006,13.570
30/7/2003,13.580
15/11/2017,13.600
16/4/2000,13.620
26/7/2012,13.620
20/3/2009,13.650
6/4/2017,13.660
23/7/2015,13.680
7/4/2007,13.690
8/7/2005,13.700
4/8/2017,13.700
16/11/2005,13.710
5/4/2017,13.720
15/11/2014,13.730
6/4/2019,13.730
14/3/2009,13.730
12/4/2017,13.740
17/5/2010,13.760
16/1/2000,13.780
18/1/2016,13.780
7/7/2002,13.800
13/10/2000,13.800
20/4/2003,13.820
7/1/2004,13.830
10/4/2007,13.860
10/4/2000,13.870
19/4/2003,13.900
17/3/2009,13.910
3/11/2010,13.930
5/11/2006,13.960
15/4/2005,13.960
13/7/2012,13.980
13/6/2018,14.040
4/11/2005,14.050
24/10/2000,14.070
7/4/2008,14.080
20/11/2016,14.090
18/7/2009,14.090
5/2/2012,14.100
15/8/2010,14.110
10/7/2000,14.110
14/10/2018,14.110
25/1/2007,14.130
17/7/2001,14.140
16/8/2010,14.140
7/1/2001,14.150
15/1/2005,14.150
13/1/2008,14.160
18/7/2004,14.180
2/8/2010,14.230
21/4/2000,14.240
7/11/2001,14.310
1/2/2003,14.320
9/2/2006,14.360
7/4/2018,14.380
31/1/2003,14.380
4/11/2006,14.390
11/8/2011,14.390
16/1/2011,14.430
6/11/2010,14.440
24/10/2006,14.450
11/2/2003,14.450
2/5/2010,14.470
1/8/2011,14.490
6/11/2004,14.540
23/11/2014,14.550
29/3/2004,14.550
15/5/2010,14.560
21/11/2013,14.560
16/5/2010,14.560
13/7/2005,14.580
14/1/2010,14.590
15/1/2010,14.590
14/7/2005,14.620
19/4/2001,14.630
17/3/2009,14.650
28/3/2004,14.670
19/7/2016,14.700
7/1/2016,14.700
11/4/2007,14.720
1/2/2002,14.730
17/4/2011,14.750
6/4/2001,14.750
9/1/2005,14.750
15/1/2000,14.770
26/7/2016,14.770
30/10/2003,14.770
2/5/2010,14.770
29/4/2010,14.780
18/10/2018,14.800
10/4/2001,14.800
6/11/2016,14.810
27/4/2010,14.820
16/6/2018,14.820
28/4/2010,14.820
20/7/2003,14.840
27/1/2011,14.850
3/4/2016,14.860
6/1/2004,14.870
17/3/2009,14.870
5/11/2010,14.890
9/3/2009,14.890
18/3/2009,14.900
4/11/2010,14.900
5/2/2014,14.910
8/11/2010,14.950
7/11/2010,14.950
11/4/2003,14.990
24/7/2019,15.010
20/7/2013,15.020
19/10/2011,15.030
26/3/2008,15.060
20/4/2011,15.060
10/4/2011,15.060
7/11/2016,15.060
9/4/2011,15.060
11/4/2011,15.070
8/2/2018,15.070
13/4/2011,15.070
12/8/2011,15.070
12/4/2011,15.070
24/1/2007,15.080
14/4/2017,15.100
7/4/2004,15.100
21/4/2011,15.110
5/11/2005,15.110
25/3/2008,15.120
24/4/2011,15.130
22/4/2011,15.130
16/11/2002,15.130
11/8/2017,15.140
3/11/2007,15.160
17/11/2014,15.160
5/8/2017,15.170
16/3/2009,15.180
16/3/2009,15.200
7/4/2017,15.210
15/11/2002,15.220
27/4/2005,15.260
15/4/2013,15.260
27/1/2011,15.270
28/1/2011,15.270
27/10/2001,15.270
9/7/2014,15.310
15/4/2007,15.330
30/7/2009,15.350
5/4/2002,15.370
18/7/2016,15.390
18/10/2000,15.400
14/1/2000,15.430
21/3/2009,15.430
4/2/2012,15.440
27/1/2007,15.440
27/3/2012,15.460
20/4/2000,15.460
14/1/2013,15.470
15/7/2005,15.470
19/1/2016,15.480
10/4/2013,15.500
18/1/2001,15.540
10/4/2016,15.570
17/11/2007,15.580
5/11/2007,15.590
16/11/2017,15.590
22/1/2015,15.600
23/10/2006,15.600
6/7/2007,15.610
20/1/2016,15.630
26/3/2012,15.640
22/3/2009,15.660
10/1/2009,15.660
8/4/2008,15.660
8/3/2009,15.680
5/4/2018,15.730
3/11/2006,15.740
2/11/2006,15.740
18/4/2013,15.750
27/8/2008,15.750
27/3/2004,15.760
5/7/2007,15.760
19/4/2013,15.770
23/1/2008,15.770
11/11/2015,15.780
6/4/2008,15.780
17/4/2013,15.790
6/8/2017,15.790
16/4/2013,15.790
20/4/2018,15.810
18/11/2004,15.810
13/4/2017,15.810
9/7/2006,15.840
13/7/2006,15.850
8/7/2006,15.850
12/7/2006,15.850
18/11/2007,15.850
16/7/2009,15.850
17/7/2006,15.860
14/7/2006,15.860
13/7/2013,15.880
18/4/2001,15.890
14/7/2013,15.890
16/7/2001,15.890
10/4/2002,15.910
13/4/2001,15.910
7/7/2007,15.920
15/7/2004,15.930
29/10/2003,15.940
17/7/2005,15.940
30/10/2000,15.950
9/11/2007,15.960
11/11/2007,15.960
14/4/2007,15.960
6/11/2007,15.960
8/11/2007,15.970
7/11/2007,15.970
28/3/2002,16.000
14/7/2012,16.010
14/11/2002,16.020
18/11/2019,16.030
7/11/2004,16.040
22/7/2009,16.050
15/7/2001,16.070
15/7/2013,16.080
10/7/2005,16.090
12/10/2000,16.090
13/6/2018,16.110
19/4/2005,16.110
17/1/2011,16.110
17/1/2011,16.120
30/6/2007,16.120
30/1/2003,16.120
1/7/2007,16.120
3/4/2012,16.150
10/2/2003,16.160
31/1/2002,16.190
15/4/2000,16.210
14/4/2000,16.210
6/11/2001,16.210
17/7/2016,16.220
5/11/2019,16.220
18/7/2014,16.230
19/8/2008,16.240
19/10/2018,16.250
11/3/2009,16.250
15/7/2012,16.270
26/7/2009,16.300
18/11/2005,16.310
13/7/2000,16.310
21/7/2004,16.350
1/4/2008,16.350
26/8/2008,16.350
17/7/2013,16.350
13/11/2002,16.360
26/7/2009,16.370
